,recent_px,strike,option_px,extrinsic_value,yield,protection
81,167.7100067138672,168.5,4.78,4.78,2.85%,2.85%
82,167.7100067138672,169.0,4.55,4.55,2.71%,2.71%
83,167.7100067138672,170.0,4.05,4.05,2.41%,2.41%
84,167.7100067138672,171.0,3.6,3.6,2.15%,2.15%
85,167.7100067138672,172.5,3.05,3.05,1.82%,1.82%
86,167.7100067138672,175.0,2.25,2.25,1.34%,1.34%
87,167.7100067138672,177.5,1.61,1.61,0.96%,0.96%
88,167.7100067138672,180.0,1.19,1.19,0.71%,0.71%
89,167.7100067138672,182.5,0.88,0.88,0.52%,0.52%
90,167.7100067138672,185.0,0.66,0.66,0.39%,0.39%
91,167.7100067138672,187.5,0.47,0.47,0.28%,0.28%
92,167.7100067138672,190.0,0.4,0.4,0.24%,0.24%
93,167.7100067138672,192.5,0.4,0.4,0.24%,0.24%
94,167.7100067138672,195.0,0.28,0.28,0.17%,0.17%
95,167.7100067138672,197.5,0.2,0.2,0.12%,0.12%
96,167.7100067138672,200.0,0.14,0.14,0.08%,0.08%
97,167.7100067138672,205.0,0.14,0.14,0.08%,0.08%
98,167.7100067138672,210.0,0.06,0.06,0.04%,0.04%
99,167.7100067138672,215.0,0.25,0.25,0.15%,0.15%
